where	source	text
code	Заполните хотя бы одно: время выхода, продолжительность или полную продолжительность.	Complete al menos uno: hora de emisión, duración o duración total.
code	Запретить вносить выпуски в окна	Prohibir agregar emisiones a las ventanas
code	Запрошенной страницы не существует.	La página solicitada no existe.
code	Значение не редактируется и не сохраняется.	El valor no se puede editar ni se guarda.
code	Значение поля 'Начиная с' не должно быть меньше даты начала действия прайс-листа: {0}.	El valor del campo 'A partir de' no debe ser anterior a la fecha de inicio de la lista de precios: {0}.
code	Значение поля 'Оканчивая' должно быть больше даты окончания действия прайс-листа: {0}.	El valor del campo 'Hasta' debe ser posterior a la fecha de fin de la lista de precios: {0}.
code	Идентификатор запроса:	Identificador de la solicitud:
code	Изменение цены: {0}	Cambio de precio: {0}
code	Изменено тарифов: {0}, создано новых: {1}	Tarifas modificadas: {0}, nuevas creadas: {1}
code	Изменено тарифов: {0}, создано новых: {1}, не обработано: {2}	Tarifas modificadas: {0}, nuevas creadas: {1}, sin procesar: {2}
code	Изменится окон: {0}	Ventanas que cambiarán: {0}
code	Изменить	Modificar
code	Изменить выделенные окна ({0})…	Modificar ventanas seleccionadas ({0})…
code	Изменить окна	Modificar ventanas
code	Изменить окна {0}…	Modificar ventanas {0}…
code	Изменить окна…	Modificar ventanas…
code	Изменить окно…	Modificar ventana…
code	Изменить похожие тарифы ({0} шт.)	Modificar tarifas similares ({0} uds.)
code	Изменить цену…	Modificar precio…
code	Интервал генерации окон	Intervalo de generación de ventanas
code	Интервал должен быть внутри срока прайс-листа: {0:dd.MM.yyyy} – {1:dd.MM.yyyy}.	El intervalo debe estar dentro de la vigencia de la lista de precios: {0:dd.MM.yyyy} – {1:dd.MM.yyyy}.
code	Интервал удаления сгенерированных окон	Intervalo de eliminación de ventanas generadas
code	Интервал удаления сгенерированных окон {0}	Intervalo de eliminación de ventanas generadas {0}
code	Как клонировать тарифы прайс-листа?	¿Cómo clonar las tarifas de la lista de precios?
code	Карточка	Ficha
code	Клонирование прайс-листа	Clonación de la lista de precios
code,menu	Комбо-модули	Módulos combo
code	Контрол	Control
code	Лист1	Hoja1
code	Макеты рекламных акций	Borradores de campañas publicitarias
code	Метод еще не реализован.	El método aún no está implementado.
code	На главную	Ir al inicio
code	На этой неделе рекламных окон нет	No hay ventanas publicitarias esta semana
code	На эту неделю у станции нет прайс-листа	La emisora no tiene lista de precios para esta semana
code	Нарушение ограничения (SQL {0}) в процедуре {1}: {2}	Violación de restricción (SQL {0}) en el procedimiento {1}: {2}
code,column	Начало	Inicio
code	Начиная с	A partir de
code	Не выбран ролик для замены.	No se ha seleccionado el spot de sustitución.
code	Не заполнено: {0}.	Sin completar: {0}.
code	Не как в тарифе:	Distinto de la tarifa:
code	Не как в тарифе: {0}	Distinto de la tarifa: {0}
code	Не найден прайс-лист для модуля '{0}' на указанную дату.	No se encontró la lista de precios del módulo '{0}' para la fecha indicada.
code	Не найден прайс-лист для пакетного модуля '{0}' на указанную дату.	No se encontró la lista de precios del módulo en paquete '{0}' para la fecha indicada.
code	Не найден прайс-лист для программы '{0}' на указанную дату.	No se encontró la lista de precios del programa '{0}' para la fecha indicada.
code	Не опеределен	No definida
code	Не определен	No definida
code	Не отмечено станций: {0}	Emisoras sin marcar: {0}
code	Не перенесено выпусков: {0} из {1}	Emisiones no trasladadas: {0} de {1}
code	Не удалось возобновить сеанс.	No se pudo reanudar la sesión.
code	Не удалось восстановить связь.	No se pudo restablecer la conexión.
code	Не удалось удалить объект '{0}'.	No se pudo eliminar el objeto '{0}'.
code	Неверный логин или пароль.	Nombre de usuario o contraseña incorrectos.
code	Недостаточно прав: действие «{0}» для «{1}» вам не разрешено.	Permisos insuficientes: la acción «{0}» para «{1}» no le está permitida.
code	Недоступных для внесения окон за этот период нет.	No hay ventanas no disponibles para agregar emisiones en este período.
code	Незамененные ролики	Spots no sustituidos
code	Нельзя добавить день недели, которого нет у исходного тарифа: дни задают область применения.	No se puede agregar un día de la semana que no tenga la tarifa original: los días definen el ámbito de aplicación.
code	Необходимо выбрать хотя бы одну радиостанцию.	Es necesario seleccionar al menos una emisora.
code	Нет	No
code	Нет изображения.	Sin imagen.
code	Нет набора строк	No hay conjunto de filas
code	Ни один параметр не изменён.	No se modificó ningún parámetro.
code	Новая полная продолжительность, мм:сс	Nueva duración total, mm:ss
code	Новая продолжительность, мм:сс	Nueva duración, mm:ss
code	Новая цена не должна быть равна текущей цене.	El nuevo precio no debe ser igual al precio actual.
code	Новое время выхода	Nueva hora de emisión
code	Новый: {0}	Nuevo: {0}
code	Нужно войти в систему.	Es necesario iniciar sesión.
code	Обработано по (включительно)	Procesado hasta (inclusive)
code	Объект	Objeto
code	Один в один — тарифы копируются без изменений.	Tal cual — las tarifas se copian sin cambios.
code	Ок	Aceptar
code	Оканчивая	Hasta
code	Окна появляются после генерации по тарифам прайс-листа.	Las ventanas aparecen tras generarlas a partir de las tarifas de la lista de precios.
code	Окна строятся по тарифам прайс-листа. Уже сгенерированные окна не меняются.	Las ventanas se generan a partir de las tarifas de la lista de precios. Las ventanas ya generadas no se modifican.
code,column	Окно	Ventana
code	Окно {0}	Ventana {0}
code	Операции с окнами	Operaciones con ventanas
code	Остановить	Detener
code	Отбор	Filtro
code	Отказано по правам. Пользователь: {0} (id {1}); сущность: {2} (id {3}); действие: {4}; право: {5}.	Acceso denegado por permisos. Usuario: {0} (id {1}); entidad: {2} (id {3}); acción: {4}; permiso: {5}.
code	Отклонено бизнес-правилом. Процедура: {0} — {1}	Rechazado por una regla de negocio. Procedimiento: {0} — {1}
code	Открыть карточку	Abrir ficha
code	Отмена	Cancelar
code	Отметить	Marcar
code	Отметить все ({0})	Marcar todos ({0})
code	Отметить дни обработанными	Marcar días como procesados
code	Отметить дни обработанными…	Marcar días como procesados…
code	Отметить станцию «{0}» обработанной по {1} включительно? Выпуски этих дней сможет менять только трафик-менеджер и администратор.	¿Marcar la emisora «{0}» como procesada hasta el {1} inclusive? Las emisiones de esos días solo podrán ser modificadas por el gestor de tráfico y el administrador.
code	Отметьте выпуски, чтобы перенести их в другое окно.	Marque las emisiones para trasladarlas a otra ventana.
code	Отметьте хотя бы один день недели, к которому применить изменения.	Marque al menos un día de la semana al que aplicar los cambios.
code	Отметьте хотя бы один день недели.	Marque al menos un día de la semana.
code	Отметьте хотя бы одну станцию.	Marque al menos una emisora.
code	Отмечено: {0}	Marcados: {0}
code	Относится к этапу 2 (свои движки — FakeContainer/MasterDetail) или этапу 3 (специализированные экраны) плана веб-миграции.	Corresponde a la etapa 2 (motores propios — FakeContainer/MasterDetail) o a la etapa 3 (pantallas especializadas) del plan de migración web.
code	Очистить	Limpiar
code,column,entity	Ошибка	Error
code	Ошибка.	Error.
code	Ошибки клонирования	Errores de clonación
code	Ошибки массового удаления	Errores de eliminación masiva
code,menu	Пакетные модули	Módulos en paquete
code	Паспорт: {0}	Ficha: {0}
code	Первый	Primera
code	Перезагрузить	Recargar
code	Перейти к входу	Ir al inicio de sesión
code	Перейти к дате	Ir a la fecha
code	Перенесены журналы, карточки объектов и фильтры.	Se migraron los registros, las fichas de objetos y los filtros.
code	Перенести	Trasladar
code	Перенести в окно…	Trasladar a la ventana…
code	Перенести выпуски ({0}) из окна {1} в окно {2}?	¿Trasladar las emisiones ({0}) de la ventana {1} a la ventana {2}?
code	Перенос выпусков	Traslado de emisiones
code	Перенос выпусков ({0}) из окна	Traslado de emisiones ({0}) desde la ventana
code	Период должен быть внутри срока прайс-листа: {0:dd.MM.yyyy} – {1:dd.MM.yyyy}.	El período debe estar dentro de la vigencia de la lista de precios: {0:dd.MM.yyyy} – {1:dd.MM.yyyy}.
code	Повторите попытку или перезагрузите страницу.	Vuelva a intentarlo o recargue la página.
code	Повторить	Reintentar
code	Повторить на период — эти времена в выбранные дни недели	Repetir en el período — estas horas en los días de la semana seleccionados
code	Повторная попытка через	Nuevo intento en
code	Под условие не попало ни одного окна.	Ninguna ventana cumple la condición.
code	Подтверждённые рекламные акции	Campañas publicitarias confirmadas
code	Пока не перенесено	Aún no migrado
code	Показать	Mostrar
code	Показать без группировки	Mostrar sin agrupar
code	Показать все	Mostrar todo
code	Показать с группировакой	Mostrar agrupado
code	Полная продолжительность — в виде мм:сс, например 3:05.	Duración total — en formato mm:ss, por ejemplo 3:05.
code,column,entity	Пользователь	Usuario
code	Пометить все как прочтенное	Marcar todo como leído
code	Пометить окна цветом	Marcar ventanas con color
code	Последний	Última
code	Права на экраны выдаются вместе с пунктами меню — обратитесь к администратору системы.	Los permisos de las pantallas se otorgan junto con los elementos del menú — contacte al administrador del sistema.
code	Предметы рекламы	Rubros publicitarios
code	При обработке запроса произошла ошибка.	Se produjo un error al procesar la solicitud.
code	Применить	Aplicar
code,column	Причина	Motivo
code	Проверить загрузку метаданных	Verificar la carga de metadatos
code	Проверяю…	Verificando…
code	Программы для спонсоров	Programas para patrocinadores
code	Продолжительность не может быть больше полной — окон с нарушением: {0}. Например, {1}.	La duración no puede superar la duración total; ventanas con infracción: {0}. Por ejemplo, {1}.
code	Продолжительность — в виде мм:сс, например 2:56.	Duración — en formato mm:ss, por ejemplo 2:56.
code	Продолжить	Continuar
code	Произошла непредвиденная ошибка.	Se produjo un error inesperado.
code	Пункта меню	El elemento de menú
code,column,entity	Радиостанция	Emisora
code	Разрешить вносить выпуски в окна	Permitir agregar emisiones a las ventanas
code	Рекламное окно не найдено	No se encontró la ventana publicitaria
code	Рекламные окна	Ventanas publicitarias
code	Рекламные окна строятся по прайс-листу — перейдите к другой дате.	Las ventanas publicitarias se generan a partir de la lista de precios — vaya a otra fecha.
code	Рекламные ролики	Spots publicitarios
code,column	Ролик	Spot
code	Русский	Русский
code	С учётом правок предыдущих тарифов — цена, длительность и время берутся из последних 7 дней	Teniendo en cuenta los cambios de las tarifas anteriores — el precio, la duración y la hora se toman de los últimos 7 días
code	Свойства: {0}	Propiedades: {0}
code	Сгенерировать	Generar
code	Сейчас полная: {0}	Total actual: {0}
code	Сейчас продолжительность: {0}	Duración actual: {0}
code	Сервер приостановил сеанс.	El servidor suspendió la sesión.
code	Система	Sistema
code,menu	Скидки	Descuentos
code	Слева — станции выбранной группы; у закрытых — дата, по которую день обработан.	A la izquierda — las emisoras del grupo seleccionado; en las cerradas, la fecha hasta la que el día está procesado.
code	Снять выделение	Quitar selección
code	Снять отметку	Desmarcar
code	Снять отметку «обработан» со станции «{0}» начиная с {1}? Станция будет обработана по {2}.	¿Quitar la marca «procesado» de la emisora «{0}» a partir del {1}? La emisora quedará procesada hasta el {2}.
code	Снять пометку окон цветом	Quitar el color de las ventanas
code	Создано тарифов: {0}	Tarifas creadas: {0}
code	Создано тарифов: {0}, не создано: {1}	Tarifas creadas: {0}, no creadas: {1}
code	Сохранение отклонено.	Guardado rechazado.
code	Сохранить	Guardar
code	Список	Lista
code	Станция	Emisora
code	Страница {0}	Página {0}
code	Страница не найдена	Página no encontrada
code	Сущность {0}: {1}	Entidad {0}: {1}
code	Тарифы	Tarifas
code	Только выделенные окна ({0})	Solo las ventanas seleccionadas ({0})
code	Только пользователь с правами администратора может деактивировать акцию, которая уже началась!	¡Solo un usuario con permisos de administrador puede desactivar una campaña que ya comenzó!
code,menu	Трафик-менеджмент	Gestión de tráfico
code	У листа дерева нет детей.	La hoja del árbol no tiene elementos secundarios.
code	У сущности нет паспорта в метаданных.	La entidad no tiene ficha en los metadatos.
code	У этого узла нет вложенного списка.	Este nodo no tiene una lista anidada.
code	Удаление	Eliminación
code	Удаление недоступно для объекта '{0}'.	La eliminación no está disponible para el objeto '{0}'.
code	Удаление сгенерированных окон	Eliminación de ventanas generadas
code	Удалить ({0})	Eliminar ({0})
code	Удалить сгенерированные окна…	Eliminar ventanas generadas…
code	Удаляются все окна прайс-листа в выбранном интервале. Окна, в которых уже есть выпуски, остаются.	Se eliminan todas las ventanas de la lista de precios en el intervalo seleccionado. Las ventanas que ya tienen emisiones se conservan.
code	Удаляются окна времени {0} в выбранном интервале. Окна, в которых уже есть выпуски, остаются.	Se eliminan las ventanas de las {0} en el intervalo seleccionado. Las ventanas que ya tienen emisiones se conservan.
code	Удалённые рекламные акции	Campañas publicitarias eliminadas
code	Уже перенесено по времени: {0}	Ya trasladadas de horario: {0}
code	Уточните период и дни недели.	Especifique el período y los días de la semana.
code	Фактическое размещение пакетных рекламных модулей	Colocación real de módulos publicitarios en paquete
code	Фактическое размещение рекламных модулей	Colocación real de módulos publicitarios
code	Фактическое размещение спонсорских программ	Colocación real de programas de patrocinio
code	Фильтр: {0}	Filtro: {0}
code	Час окончания интервала не может быть меньше часа начала.	La hora de fin del intervalo no puede ser anterior a la hora de inicio.
code	Чётный/Нечётный	Par/Impar
code	Экран	Pantalla
code	Экран не перенесён	Pantalla no migrada
code	Экраны, которых ещё нет, сообщают об этом при открытии.	Las pantallas que aún no existen lo indican al abrirse.
code	Экспорт в Excel	Exportar a Excel
code	Эта операция приведет к удалению объекта '{0}' из системы. Продолжить?	Esta operación eliminará el objeto '{0}' del sistema. ¿Continuar?
code	Это действие для записи недоступно.	Esta acción no está disponible para el registro.
code	Это не ограничение прав.	No se trata de una restricción de permisos.
code	Этот журнал вам не разрешён.	No tiene permiso para este registro.
code	Этот пункт меню пока не перенесён на веб — он не сводится к простому журналу по метаданным	Este elemento de menú aún no se migró a la web — no se reduce a un simple registro basado en metadatos
code	Этот экран вам не разрешён.	No tiene permiso para esta pantalla.
code	Этот экран вам не разрешён. Права на экраны выдаются вместе с пунктами меню — обратитесь к администратору системы.	No tiene permiso para esta pantalla. Los permisos de las pantallas se otorgan junto con los elementos del menú — contacte al administrador del sistema.
code	в вебе пока нет.	aún no existe en la web.
code	вместимость {0}, по тарифу {1}	capacidad {0}, según tarifa {1}
code	время выхода {0:HH:mm}{1}, по расписанию {2:HH:mm}	hora de emisión {0:HH:mm}{1}, programada {2:HH:mm}
code	двойной клик	doble clic
code	день обработан	día procesado
code	для дерева.	para el árbol.
code	есть, {0} симв.	sí, {0} caract.
code	клик	clic
code	не как в тарифе	distinto de la tarifa
code	не как в тарифе: {0}	distinto de la tarifa: {0}
code	недоступно	no disponible
code	нет	no
code	переполнено	excedido
code	пока не поддержан (этап 2).	aún no es compatible (etapa 2).
code	полная продолжительность	duración total
code	помечено	marcado
code	продолжительность	duración
code	сек.	seg.
code	склеено	unido
code	склеено с предыдущим и следующим окном	unida con la ventana anterior y la siguiente
code	склеено с предыдущим окном	unida con la ventana anterior
code	склеено со следующим окном	unida con la ventana siguiente
code	скоро	próximamente
code	снимите дни, которые менять не нужно	desmarque los días que no deban modificarse
code	только для окон одного времени	solo para ventanas de la misma hora
code	цена {0:C}, по тарифу {1:C}	precio {0:C}, según tarifa {1:C}
code	щёлкните окно, куда перенести	haga clic en la ventana de destino
column	 Группа	 Grupo
column	Cумма (+)	Monto (+)
column	Cумма (-)	Monto (-)
column	Cумма за МП	Monto por plan de medios
column	Автор	Autor
column	Агенство	Agencia
column	Административная	Administrativa
column	Адрес	Dirección
column	Активирована	Activada
column	Активная программа	Programa activo
column	БИК	БИК
column	БИК банка	БИК del banco
column,entity	Баланс	Balance
column,entity	Банк	Banco
column	Бонус	Bonificación
column	Брэнд	Marca
column	Вс.	Dom.
column	Все акции за деньги	Todas las campañas pagas
column	Все скидки (коэффициент)	Todos los descuentos (coeficiente)
column	Всего	Total
column	Всего (кампания)	Total (pauta)
column	Вт.	Mar.
column	Выручка	Ingresos
column	Выручка (Пред. период)	Ingresos (período ant.)
column,entity	Группа	Grupo
column	Дата	Fecha
column	Дата активации	Fecha de activación
column	Дата договора	Fecha del contrato
column	Дата начала	Fecha de inicio
column	Дата начала новой кампании	Fecha de inicio de la nueva pauta
column	Дата окончания	Fecha de fin
column	Дата переноса	Fecha de traslado
column	Дата платежа	Fecha de pago
column	Дата последнего выпуска	Fecha de la última emisión
column	Дата предоставления скидки	Fecha de otorgamiento del descuento
column	Дата принятия	Fecha de aceptación
column	Дата разделения	Fecha de división
column	Дата создания	Fecha de creación
column	Дата создания акции	Fecha de creación de la campaña
column	Дата удаления	Fecha de eliminación
column	Дата эфира	Fecha al aire
column	Делитель	Divisor
column	День	Día
column	Для модулей	Para módulos
column	Заполняемость (%)	Ocupación (%)
column	ИНН	ИНН
column	Идентификатор	Identificador
column	Израсходовано	Consumido
column	Имя	Nombre
column	КПП	КПП
column	Код ОГРН	Código ОГРН
column	Кол-во акций	Cant. de campañas
column	Кол-во выпусков	Cant. de emisiones
column	Кол-во групп	Cant. de grupos
column	Количество	Cantidad
column	Комиссия	Comisión
column	Коммент.	Coment.
column	Кому	Para
column	Кор. счет	Cta. corresp.
column	Кор. счет банка	Cta. corresp. del banco
column	Коэффициент	Coeficiente
column	Линейная	Lineal
column	Медиа-планер	Planificador de medios
column	Мен. ск	Desc. ger.
column,entity	Менеджер	Gerente
column	Менеджерская скидка	Descuento del gerente
column	Менеджерская скидка (деньги)	Descuento del gerente (monto)
column	Место в отчёте	Posición en el informe
column	Минимальная сумма (с учётом объёмных скидок)	Monto mínimo (con descuentos por volumen)
column,entity	Модуль	Módulo
column	Модульная	Modular
column	Название банка	Nombre del banco
column	Название ролика	Nombre del spot
column	Налог	Impuesto
column	Наценка за 1-й (%)	Recargo por 1.ª posición (%)
column	Наценка за 2-й  (%)	Recargo por 2.ª posición (%)
column	Наценка за последний  (%)	Recargo por última posición (%)
column	Начало эфирного дня	Inicio del día de emisión
column	Новая дата	Nueva fecha
column	ОКВЭД	ОКВЭД
column	Обработано	Procesado
column	Общее время	Tiempo total
column	Общий	General
column	Объем продаж	Volumen de ventas
column	Объем реализации (секунды)	Volumen de ventas (segundos)
column	Объемная скидка	Descuento por volumen
column	Объемная скидка (деньги)	Descuento por volumen (monto)
column	Объёмная скидка	Descuento por volumen
column	Окончание	Fin
column	Операция	Operación
column	Описание	Descripción
column	Оплачено	Pagado
column	Организация	Organización
column	Оригинальная дата выпуска	Fecha original de emisión
column	Оригинальное время выпуска	Hora original de emisión
column	Осн. сумма	Monto base
column	Остальные типы оплаты не подразумевающие оплату (кроме бонусов)	Otros tipos de pago que no implican pago (excepto bonificaciones)
column,entity	Остаток	Saldo inicial
column	От кого	De
column	Отчество	Patronímico
column	Отчёт	Informe
column,entity	Пакетная скидка	Descuento por paquete
column	Пакетная скидка (деньги)	Descuento por paquete (monto)
column,entity	Пакетный модуль	Módulo en paquete
column	Первая половина часа	Primera media hora
column	Период	Período
column	Пн.	Lun.
column	Показатель по количеству	Indicador por cantidad
column	Показатель по цене	Indicador por precio
column	Получено	Recibido
column	Пользовательское право	Permiso de usuario
column	Порядок	Orden
column	После скидки	Con descuento
column	Последний менеджер	Último gerente
column	Пр-ть	Dur.
column	Пр-ть полная	Dur. total
column	Право подтверждать	Permiso para confirmar
column,entity,menu	Предмет рекламы	Rubro publicitario
column	Предмет рекламы (1-й уровень)	Rubro publicitario (1.er nivel)
column	Префикс	Prefijo
column	Причина скидки	Motivo del descuento
column	Программа	Programa
column	Прод-ть	Dur.
column	Продолжительность (Пред. период)	Duración (período ant.)
column	Проимпортировано	Importado
column	Процент	Porcentaje
column	Процент заполнения	Porcentaje de ocupación
column	Пт.	Vie.
column	Радиостанци	Emisora
column	Расчетный счет	Cuenta corriente
column	Реальная дата выпуска	Fecha real de emisión
column,entity	Рекламное окно	Ventana publicitaria
column	Ролик/Программа	Spot/Programa
column	Роль	Rol
column	СМИ	Medio
column	Сб.	Sáb.
column	Скидка	Descuento
column	Создано	Creado
column	Создатель	Creador
column	Спонсорская	De patrocinio
column	Способ разделения	Método de división
column	Ср.	Mié.
column	Средний чек по акции	Ticket promedio por campaña
column	Средний чек по группе	Ticket promedio por grupo
column	Средняя цена	Precio promedio
column	Средняя цена (Пред. период)	Precio promedio (período ant.)
column	Старая дата	Fecha anterior
column	Статус	Estado
column	Стоимость рекламной акции без скидок	Costo de la campaña publicitaria sin descuentos
column	Стоимость рекламной акции со всеми скидками	Costo de la campaña publicitaria con todos los descuentos
column	Сумма	Monto
column	Сумма (+)	Monto (+)
column	Сумма (руб)	Monto (rub.)
column	Сумма (руб, группа)	Monto (rub., grupo)
column	Сумма по компаниям	Monto por pautas
column	Сумма по тарифам	Monto según tarifas
column,entity	Тариф	Tarifa
column	Текст	Texto
column	Телефон	Teléfono
column	Тип	Tipo
column	Тип компании	Tipo de pauta
column	Тип объекта	Tipo de objeto
column	Тип опланы	Tipo de pago
column,entity,menu	Тип оплаты	Tipo de pago
column	Тип рекламы	Tipo de publicidad
column	Факс	Fax
column	Фактическое время выпуска	Hora real de emisión
column	Фактическое время рекламы	Tiempo real de publicidad
column	Фамилия	Apellido
column	Фирма	Empresa
column	Фирма-закачик	Empresa cliente
column	Цена по тарифам	Precio según tarifas
column	Цена с учётом всех скидок	Precio con todos los descuentos
column	Цена с учётом объёмной скидки	Precio con descuento por volumen
column	Час выпуска	Franja horaria de emisión
column	Чт.	Jue.
column	№ Акции	N.º de campaña
entity	Агентсто для радиостанций	Agencia para emisoras
entity	Акт выполненных работ (агентства)	Acta de trabajos realizados (agencias)
entity	Веерное размещение: Выпуски	Distribución en abanico: Emisiones
entity	Выпуск модульной кампании	Emisión de pauta modular
entity	Выпуск модуля	Emisión de módulo
entity	Выпуск пакетного модуля	Emisión de módulo en paquete
entity	Выпуск пакетного модуля (форма редактирования кампании)	Emisión de módulo en paquete (formulario de edición de pauta)
entity	Выпуск ролика	Emisión de spot
entity	Выпуск ролика (активация)	Emisión de spot (activación)
entity	Выпуск ролика в модуле	Emisión de spot en módulo
entity	Выпуск ролика модульной кампании	Emisión de spot de pauta modular
entity	Выпуск спонсорской программы	Emisión de programa de patrocinio
entity	Группа Радиостанций	Grupo de emisoras
entity	Группа компаний (журнал рекламных акций)	Grupo de empresas (registro de campañas publicitarias)
entity	Дата принятия скидок	Fecha de aceptación de descuentos
entity	День модульной рекламной кампании	Día de pauta publicitaria modular
entity	День модульной рекламной кампании (в модуле)	Día de pauta publicitaria modular (en módulo)
entity	День пакетной рекламной кампании	Día de pauta publicitaria en paquete
entity	День рекламной кампании	Día de pauta publicitaria
entity	День рекламной кампании (в выпуске)	Día de pauta publicitaria (en emisión)
entity	День спонсорской кампании в программе	Día de pauta de patrocinio en programa
entity	День спонсорской компании	Día de pauta de patrocinio
entity	Импортирование роликов	Importación de spots
entity	Импортирование фирм	Importación de empresas
entity	Импортированные выпуски	Emisiones importadas
entity	Использование бонусов	Uso de bonificaciones
entity	Использование роликов	Uso de spots
entity	Кандидаты на оплату	Candidatos a pago
entity	Комбо-модуль	Módulo combo
entity	Линейная рекламная компания	Pauta publicitaria lineal
entity	Менеджерский коэффициент	Coeficiente del gerente
entity	Модули комбо-модуля	Módulos del módulo combo
entity	Модули пакетного модуля	Módulos del módulo en paquete
entity	Модульная рекламная компания	Pauta publicitaria modular
entity	Налог для агентства	Impuesto de la agencia
entity	Объем реализации по месяцам	Volumen de ventas por meses
entity	Оплата акции	Pago de campaña
entity	Пакетная рекламная компания	Pauta publicitaria en paquete
entity	Пакетные модули кампании	Módulos en paquete de la pauta
entity	Перенос выпуска	Traslado de emisión
entity	Платеж	Pago
entity	Пользователь в группе	Usuario en grupo
entity	Пользовательский коэффициент	Coeficiente de usuario
entity	Пользовательский коэффициент (массовый)	Coeficiente de usuario (masivo)
entity	Права группы	Permisos del grupo
entity	Прайс-Лист (Пакетная скидка)	Lista de precios (descuento por paquete)
entity	Прайс-лист	Lista de precios
entity	Прайс-лист для Пакетных модулей	Lista de precios para módulos en paquete
entity	Прайс-лист для модуля	Lista de precios para módulo
entity	Прайс-лист спонсорских программ	Lista de precios de programas de patrocinio
entity	Предмет рекламы 2-го уровня	Rubro publicitario de 2.º nivel
entity	Причина менеджерской скидки	Motivo del descuento del gerente
entity	Программа спонсоркой кампании в дне	Programa de pauta de patrocinio en el día
entity	Программа спонсорской компании	Programa de pauta de patrocinio
entity	Пункт меню	Opción de menú
entity	Радиостанции у менеджера	Emisoras del gerente
entity	Радиостанция (Пакетная скидка)	Emisora (descuento por paquete)
entity	Размещение рекламы на радиостанции	Colocación de publicidad en la emisora
entity	Рекламная акция	Campaña publicitaria
entity	Рекламная кампания	Pauta publicitaria
entity	Рекламное окно (Траффик менеджер)	Ventana publicitaria (gestor de tráfico)
entity	Рекламный ролик	Spot publicitario
entity	Ролик "для всех фирм"	Spot "para todas las empresas"
entity	Ролик модульной кампании (в дне)	Spot de pauta modular (en el día)
entity	Ролик рекламной акции	Spot de campaña publicitaria
entity	Ролик рекламной кампании	Spot de pauta publicitaria
entity	Ролик рекламной кампании (в дне)	Spot de pauta publicitaria (en el día)
entity	Ролик-незаменен	Spot no sustituido
entity	Ролик-пустышка	Spot vacío
entity	Ролики (Статистика по акции)	Spots (estadísticas de la campaña)
entity	Системные настройки	Configuración del sistema
entity	Содержимое пакетного модуля	Contenido del módulo en paquete
entity	Сообщение	Mensaje
entity	Спонсорская программа	Programa de patrocinio
entity	Спонсорская рекламная компания	Pauta publicitaria de patrocinio
entity	Спонсорский тариф	Tarifa de patrocinio
entity	Статистика: Факторный анализ продаж	Estadísticas: Análisis factorial de ventas
entity	Статистика:: Отчет по типам оплаты	Estadísticas:: Informe por tipos de pago
entity	Статистика::% заполнения, объем рекламы	Estadísticas::% de ocupación, volumen de publicidad
entity	Статистика::Долги и предопл. по фирмам (агентства)	Estadísticas::Deudas y anticipos por empresas (agencias)
entity	Статистика::Долги и предоплаты (агентства)	Estadísticas::Deudas y anticipos (agencias)
entity	Статистика::Журнал задолженностей по менеджерам (агентства)	Estadísticas::Registro de deudas por gerentes (agencias)
entity	Статистика::Загрузка модулей	Estadísticas::Ocupación de módulos
entity	Статистика::Загрузка пакетных модулей	Estadísticas::Ocupación de módulos en paquete
entity	Статистика::Загрузка спонсорских программ	Estadísticas::Ocupación de programas de patrocinio
entity	Статистика::Объем реализации	Estadísticas::Volumen de ventas
entity	Статистика::Объем реализации в секундах	Estadísticas::Volumen de ventas en segundos
entity	Статистика::Продажа модулей	Estadísticas::Venta de módulos
entity	Статистика::Продажа пакетных модулей	Estadísticas::Venta de módulos en paquete
entity	Статистика::Средняя скидка по радиостанции	Estadísticas::Descuento promedio por emisora
entity	Сумма скидки	Monto del descuento
entity	Счёт (оплата акции)	Factura (pago de campaña)
entity	Тариф для модуля	Tarifa para módulo
entity	Текст отчётов	Texto de informes
entity	Тип кампании (Пакетная скидка)	Tipo de pauta (descuento por paquete)
entity	Удалённая рекламная акция	Campaña publicitaria eliminada
entity	Удалённый выпуск рекламной акции	Emisión eliminada de campaña publicitaria
entity	Фирма (журнал рекламных акций)	Empresa (registro de campañas publicitarias)
entity	Фирма (макеты рекламных акций)	Empresa (borradores de campañas publicitarias)
entity	Фирма (удалённые рекламные акции)	Empresa (campañas publicitarias eliminadas)
entity	Фирмы	Empresas
entity	Части спонсорской кампании	Partes de pauta de patrocinio
entity	Часть программ спосорской кампании	Parte de programas de pauta de patrocinio
entity	Часть роликов спонсорской кампании	Parte de spots de pauta de patrocinio
menu	% заполнения	% de ocupación
menu	Cальдо расчётов по всем фирмам-заказчикам в разрезе агентств 	Saldo de cuentas de todas las empresas clientes por agencia 
menu	Cпонсорских программ	De programas de patrocinio
menu	Администрация	Administración
menu	Аналитические показатели	Indicadores analíticos
menu	Баланс для всех фирм-заказчиков	Balance de todas las empresas clientes
menu	Баланс для конкретной фирмы-заказчика	Balance de una empresa cliente específica
menu	Банки	Bancos
menu	Бухгалтерия	Contabilidad
menu	Ввод остатков	Ingreso de saldos
menu	Веерное размещение...	Distribución en abanico...
menu	Внести макет рекламной акции	Agregar borrador de campaña publicitaria
menu	Выписать акт выполненных работ	Emitir acta de trabajos realizados
menu	Выручка от размещения пакетных рекламных модулей	Ingresos por colocación de módulos publicitarios en paquete
